Bulleen Boomers,Μπουλιν Μπουμερς,بولین بومرز
Embry-Riddle Eagles,Εμπρί-Ρίντλ Αιγλες,امبری-ریدل ایگلز
Wilki Morskie Szczecin,Γουίλκι Μόρσκι Στσετσίν,ویلکی مورسکی شتشتسین
Kongsberg Miners,Κόνγκσμπεργκ Μίνερς,کونگسبرگ ماینرز
Brazil,Βραζιλία,برزیل
Mexico,Μεξικό,مکزیکو
France,Γαλλία,فرانسه
Marbo Basket,Μάρμπο Μπάσκετ,ماربو بسکت
Gonzaga Bulldogs,Γκόνζαγκα Bulldogs,گونزاگا بادلوز
South Dakota State Jackrabbits,Σάουθ Ντακότα Στέιτ Τζακράμπιτς,ساوت دکوتا استیٹ جکرابیٹس
Bergamo Basket 2014,Μπέργκαμο Μπάσκετ 2014,برگامو بسکت 2014
Rilski Sportist,Ριλσκί Σποριστ,ریلسکی اسپورتیست
MLP Academics Heidelberg,ΜΛΠ Ακαδημίκς Χαϊδελμπουργκ,ایم ال پی اکادمیکس هایدلبرگ
North Carolina Tar Heels,Νόρθ Καρολίνα Ταρ Χιλς,نورت کارولینا تار هیلز
Connecticut Huskies,Κοννέκτικατ Χάσκις,کنیکٹیکٹ هاسکیز
Asvel Feminin,Άσβελ Φεμινίν,اسول فمینین
KK Studentski centar Podgorica,ΚΚ Στουδέντσκι Κέντρο Ποντγκόριτσα,کی کی استودنتسکی سنتر پادگوریتسا
BC Kalev,Μπί Καλέβ Καλέβ,بی سی کالو
Fortaleza Basquete Cearense,Φορτσέζα Μπασκέτ Κεαρένσε,فورتزیلا بسکت سیرنس
PF Schio,ΠΕ Σίο,پیاف شیو
Tesvikiye SK,Τεσβίκιγιε ΣΚ,تسویکیه اسکی
Baerums Verk Defenders,Μπέρουμς Βέρκ Ντεφέντερς,بئرومز ورک دیفندرز
Herner TC,Χέρνερ ΤΣ,هرنر تیسی
KK Bosna Royal Sarajevo,ΚΚ Μπόσνα Ρόυαλ Σαράγεβο,کارون کلب رویال سرایوو
Randers Cimbria,Ράντερς Κιμπρία,رندرز سیمبریا
Philippines,Φιλιππίνες,فیلیپینز
CD Maristas Palencia,ΚΔ Μαρίστας Παλένσια,سیدی ماریستاس پالنسیا
Minas Tenis Clube MG,Μίνας Τένις Κλέμπ ΜΓ,میناس تنیس کلوب میناس گروه
Polisportiva A. Galli Basket,Πολισπορτίβα Α. Γκάλι Μπάσκετ,پولیسپورتیوا آ گالی باسکت
Germany,Γερμανία,گرمنی
Konya BBSK,Κόνια ΜπΜΣΚ,کونیا بیبیاسکی
Virtus Lumezzane,Βίρτους Λουμεζάνε,ویرتوس لومزانه
TFSE-MTK Budapest,ΤΦΣΕ-ΜΤΚ Μπουδάπεζα,تیافاسایامتیکی بوداپست
Netherlands,Ολλανδία,هلند
Ferroviario Beira,Φεροβιάριο Μπέιρα,فروویاریو بیرا
Iraurgi Saski Baloia,Ίραουργκι Σάσκι Μπάλοια,ایرورگی ساسکی بالویا
Geas San Sesto Giovanni,Γκιάς Σαν Σέστο Γιάννη,جئس سان سستو ژوئنوی
Slovenia U19,Σλοβενία U19,اسلوونیا U19
Miami Florida Hurricanes,Μαϊάμι Φλόριντα Χερικάνες,میامی فلوریدا یونیکانز
Phoenix Mercury,Φίνιξ Μέρκυρος,فینیکس مرکی
Spain,Σπάιν,اسپانیا
Cyprus,Κύπρος,قبرس
San Antonio Spurs,Σαν Αντόνιο Σπέρς,سن انتونیو اسپورس
Virtus Cassino,Βίρτους Κάσινο,ویرتوس کاسینو
Serbia,Σερβία,صربستان
SIG Strasbourg,ΣΙΓ Στρασβούργο,اسآیجی استراسبورگ
BC Aris Thessaloniki,Μπι Άρις Θεσσαλονίκης,بیسی آریس تسالونیکی
Cagdas Bodrum Spor,Καγκντάς Μπόντρουμ Σπορ,کاگداس بودروم سپور
BK Snakes Ostrava,Μπι Κάι Σνέικς Οστράβα,بیکی اسنیکس استراوا
Seoul SK Knights,Σιουλ ΣΚ Ναιτς,سئول اسکی نایتس
Rain or Shine Elasto Painters,Ρειν ορ Σαιν Ελαστο Πειντερς,رین یا شاین ایلستو پینترز
Maccabi Urban Ramat Gan,Μακκαμπι Ουρμπαν Ραματ Γκαν,مکابی اوربن رامات گان
BMS Herlev Wolfpack,Μπι Εμ Στρ Ηερλεφ Γουλφπακ,بیاماس هرلو ولفپک
Pallacanestro Brescia,Παλλακανεστρο Μπρεσσια,پالاکانسترو برسیا
CB Islas Canarias,Σι Βι Ισλας Καναριας,سیبی ایسلاس کاناریاس
Cockburn Cougars,Κοκμπουρ Κουγκαρς,کاکبورن کوگارز
Chicago Sky,Σικαγο Σκαι,چیکاگو سکای
AS Alsace Gries-Souffel,ΑΣ Αλσας Γκριες-Σουφελ,ایاس الساس گریس-سوفل
Florida State Seminoles,Φλοριντα Στατε Σεμινολες,فلوریدا استیت سمینولز
Cb Almansa,Σι Βε Αλμάνσα,چب اَلمَنسا
Copenhagen Basketball,Κοπεγχάγη Μπάσκετ,کوپنهاگن بسکتبال
Quezaltepeque Biomedical,Κεζαλτεπεκε Βιομηχανικό,کوزالتپه بیومدیکال
Texas A&M-Corpus Christi Islanders,Τέξας Α και Εμ-Κορπούς Χάισλεντ Ίσλανδερς,تکساس آم-کورپوس کریستی ایلندرز
Bursa Uludag,Μπούρσα Ουλούνταγκ,بورسا اولوداگ
Keflavik,Κεφλάβικ,کفلاویک
Vevey Riviera Basket,Βεβέη Ριβιέρα Μπάσκετ,وویو ریویرا بسکت
Swarco Raiders Tirol,Σουάρκο Ρέιλερς Τιρόλ,سوارکو ریدرز تیورول
CDB Clarinos Tenerife,Σι Ντι Βι Κλαρινός Τενερφε,سی دی بی کلارینوس تنریفه
Rheinland Lions,Ράινλαντ Λάιονς,راینلند لاینز
Vermont Catamounts,Βερμόντ Καταμάουντς,ورمونت کتامانتس
Northwest Missouri State Bearcats,Νορθ Μουζουρι Στέιτ Μπέαρκατς,نورثویست موزوری ستیت بیرکتس
Junior Casale Monferrato,Τζουνιόρ Κασάλε Μονφερράτο,جونیور کاساله مونفراتو
Pirlo Kufstein Towers,Πίρλο Κουφστάιν Τάουερς,پیرلو کوفستاین تاورز
Raggisolaris Faenza,Ραγκισολάρις Φαέντα,راگیسولاریس فانزا
Zdravlje Leskovac,Ζδραφλε Λεσκόβατς,زدرولجه لسکوواچ
Fujian,Φουτζιάν,فوجیان
Israel,Ισραήλ,اسرائیل
Boca Juniors,Μπόκα Τζουνιόρς,بوکا جونیورز
SZTE-Szedeak,ΣΤΖΤΕ-Σζεντέακ,اسزده-سزدهاک
Dalia Sportive de Grombalia,Ντάλια Σπορτιβ ντε Γρομπαλία,دالیا اسپورتیو د گرومبالیا
Shaanxi Tianze,Σαανξί Τιανζε,شانخی تیانزه
Atleticos de San German,Ατλετικός ντε Σαν Γκερμάν,آتلتیکوس د سان گرمان
Slavia Banska Bystrica,Σλάβια Μπάνσκα Μπίστριτσα,اسلاویا بانسکا بیستریکا
Sanat Mes Rafsanjan,Σανατ Μες Ραφσαντζάν,سنات مث رفسنجان
Italy,Ιταλία,ایتالیا
Ezzahra Sport,Έζαρα Σπορτ,زهرا اسپورت
Memphis Tigers,Μέμφις Τάιγκερς,ممفیس تایگرز
Memphis Tigers,Μέμφις Τάιγκερς,ممفیس تایگرز
Georgia Southern Eagles,Γεωργία Νότια Είγλς,جورجیا ساؤترن ایگلز
Steaua CSM Bucuresti,Στέαυα ΚΕΣΜ Μπουκουρέστι,ستوآ کی اس ام بوکورستی
Angelo State Rams,Άντζελο Στέιτ Ραμς,آنجلو استیت رامز
Illawarra Hawks,Ίλλαγουρα Χόκς,ایلوارا هاکس
Sydney Uni Flames,Σίντνευ Γιου Φλέιμς,سیدنی یونی فلیمز
Frata Nardo,Φράτα Νάρντο,فراتا ناردو
Galatasaray,Γαλατασάραι,گالاتاسارای
Denmark,Δανία,دنمارک
Sesi/Franca BC SP,Σέσι/Φράνκα Μπί ΣΠ,سسی/فرانکا بی سی اس پی
Indiana Hoosiers,Ίντιανα Χουσιέρς,ایندیانا هوزیرز
BK 04 AC LB SNV Spisski Rytieri,Μπι Κεμπ ΑΚ ΛΜ ΣΝΒ Σπίσκι Ρυτιέρι,بی کی ۰۴ ای سی ایل بی اس ان وی اسپیسکی ریتیری
ALM Evreux Basket,ΑΛΜ Εβρευ Μπασκετ,آلم اوروک بسکت
Oklahoma Sooners,Οκλαχομα Σουνερς,اوکلاهوما سونرز
Nesibe Aydin,Νεσιμπε Αϊντιν,نسیبه آیدین
Washington State Cougars,Ουασινγκτον Στειτ Κουγκαρς,واشنگتن استیٹ کوگز
Angola,Ανγκολα,آنگولا
Derthona Basket,Ντερθονα Μπασκετ,درتونا بسکت
Finland,Φινλανδια,فنلند
Fukushima Firebonds,Φουκουσιμα Φαιρμποντς,فوکوشیما فائربندز
Spojnia Stargard,Σποινια Σταργκαρντ,اسپونیا استارگارد
Brazil,Βραζιλ,برزیل
Buyukcekmece Basketbol,Μπουγιουτσεκμετσε Μπασκετομπολ,بویوکچکمچه باسکتبول
Mitteldeutscher BC,Μιτελντεουτσερ Μπι Σι,میتلدوتشر بی سی
Colorado Buffaloes,Κολοραντο Μπαφαλους,کولورادو بوفالوز
Samsunspor,Σαμσουνσπορ,سامسونسپور
Vytis Sakiai,Βυτις Σακιαι,ویتیس ساکیای
Kralovsti Sokoli,Κραλοβστι Σοκολι,کرالووستی سوکولی
BK Nova Hut Ostrava,Μπι Κε Νοβα Χουτ Οστραβα,بی کی نووا هوت اوستراوا
Sagesse,Σαγκεσσε,ساگس
Texas Longhorns,Τεξας Λονγκχορνς,تکساس لانگهورنز
BC Lietkabelis Panevezys,Μπι Κε Λιετκαμπελις Πανεβεζυς,بی سی لیتکابلیس پانویوزیس
Holy Cross Crusaders,Χόλι Κρουσάντερς,هالی کراس کروسادرز
Basket Jesi Academy,Μπάσκετ Τζέσι Ακαδημία,بسکت جزی آکادمی
NSH Mountain Gold Timika,NSH Βουνό Χρυσό Τιμικά,اناساچ ماونت گلد تیمیکا
Intercollege Etha Engomis,Ίντερκολέιγκ Έθα Εγγόμις,اینترکالج اتا انگومیس
IR Reykjavik,ΊΑΡ Ρέικιαβικ,آیآر ریکیاویک
Basket Mestre 1958,Μπάσκετ Μεστρέ 1958,بسکت مستر۱۹۵۸
Uni Girona Cb,Γκιρόνα ΚΒ,یونی گیرونا سیبی
Juan Misael Saracho de Oruro,Τζουάν Μισάελ Σαράτσο ντε Ορούρο,جوان میزائیل ساراشو دو اورورو
Saudi Arabia,Σαουδική Αραβία,سعودی عربستان
Mandurah Magic,Μαντουρά Μάγικ,ماندوراه مجیک
MBK Handlova,ΜΒΚ Χάντλοβα,مبک هاندلووا
Hapoel Hevel Modiin,Χαπόελ Χεβελ Μοντίιν,هاپوئل هول مودین
Eastern Mavericks,Ανατολικά Μέικερς,میجورز شرقی
LA Clippers,ΛΑ Κλίπερς,لس کلیپرز
North Dakota Fighting Hawks,Βόρεια Ντάκοτα Φάιτινγκ Χόλς,هاکس فایتینگ نورت داکوتا
Frankston Blues,Φράνκστον Μπλουζ,بلوز فرانکستون
Pyrinto Tampere,Πύριντο Ταμπέρε,پیرینتو تامپره
Real Esteli,Ρέαλ Εστέλι,رئال استلی
ASVEL Lyon Villeurbanne,ΑΣΒΕΛ Λυών Βιλλουραννέ,آسول ویلوران
Tulane Green Wave,Τουλέιν Γκριν Γουέβε,گرین ویو تولان
Rockingham Flames,Ρόκινγχαμ Φλέιμς,راکینگهام فلیمز
Ockelbo Basket,Όκελμπο Μπάσκετ,اوکلبو بسکت
Hofstra Pride,Χόφστρα Πράιντ,هافسترا پراید
Colgate Raiders,Κόλγκειτ Ρέιντερς,کالگیت ریدرز
BBU Salzburg,Μπι Μπι Σάλτσμπουργκ,بیبییو سالزبورگ
BA Centre of Excellence,Μπι Ει Σεντρ οφ Εξελλένσε,بیای سنتر اوف اکسللنس
Heroes Den Bosch,Χέρους Δεν Μποσχ,هیروز دن بوش
Villanova Wildcats,Βιλανόβα Γουίλκατς,ویلانووا ویلکتس
ACS Sepsi Sic,ΑΚΣ Σεψι Σικ,ایسیاس سپسی سیک
Ballarat Miners,Μπαλλαράτ Μίνερς,بالارات ماینرز
BCMU Arges Pitesti,ΜπΚΜΥ Άργκες Πιτεστί,بیسیامی ارگس پیتستی
Republic of Korea,Δημοκρατία της Κορέας,کره جنوبی
Southern Miss Golden Eagles,Νότια Μισ Γολδ Έιγλς,ساوترن مس گولدن ایگلز
Zaglebie Sosnowiec,Ζάγκλεμπι Σοσνοβίτσε,زاگلبی سوسنوویچ
BK Lokomotiva Plzen,ΜπΚ Λοκομοτίβα Πλζεν,بیکی لوکوموتیوا پلزن
TCU Horned Frogs,ΤΣΥ Χορντ Φρογκς,تیسییو هورند فراگز
KK Zabok,ΚΚ Ζαμπόκ,کارون کارون زابوک
Atletas Kaunas,Ατλέτας Καούνας,آتلتاس کاوناس
Tallinna Kalev/Tlu,Ταλλίνα Καλέβ/Τλού,تالینا کالوو/تلو
West Virginia Mountaineers,Δυτική Βιρτζίνια Μάουντερνιζ,وست ورجینیا ماونتینیرز
Hawaii Rainbow Wahine,Χάουαι Ραινγκου Γουάινε,هاوایی رینبو واهین
Tuskegee Golden Tigers,Τασκέγκι Γκολντ Τίγερς,توسکگی گولدن تیگرز
Budapesti Honved SE,Μπουνταπέστι Χονβέντ ΣΕ,بوداپستی هونوید سی ای
ZKK Medvescak Zagreb,ΖΚΚ Μενβεστσάκ Ζαγκρέμπ,زک کی امدوشک زاگرب
Evos Thunder Bogor,Έβος Θάντερ Μπογκορ,اوسوس تاندر بوگور
Pallacanestro Cantu,Παλλακανέστρο Κάντου,پالاکانسترو کانتو
Unifacisa,Ουνιφακίσα,اونیفاسیسا
Riachuelo de la Rioja,Ριατσουέλο ντε λα Ριοχά,ریاچوئلو دلا ریوخا
Lsb RJ / Sodie Doces,Λσμπ ΡΙ / Σοντι Ντοκες,ال اس بی آر جی / سودی دوس
Kk Cedevita Zagreb Junior,Κκ Κεντεβίτα Ζαγκρέμπ Τζουνιορ,کی کی سدویتا زاگرب جونیور
Magnolia Basket,Μαγνόλια Μπασκέτ,مگنولیا بسکت
Northern Michigan Wildcats,Βόρεια Μίτσιγκαν Ουίλκατς,شمالی مایکیگن ویلکتس
Guaros de Lara,Γκουάρος ντε Λάρα,گواروس د لارا
Vilniaus Stekas,Βίλνιαους Στέκας,ویلنیاس ستکاس
College BK Borgomanero,Κόλετζ Μπι Κοργομανέρο,کالج بی کی بورگومانرو
Greece,Ελλάδα,یونان
Club Nacional,Κλαβ Νασιονάλ,کلاب ناسیونال
CSM Ploiesti,ΚΣΜ Πλοιέστη,سی اس ام پلویستی
Minnesota State Moorhead Dragons,Μινεσότα Στέιτ Μορφορντ Ντράγκονς,مینسوتا استیت مورهاود درگونز
Piratas de Quebradillas,Πειράτας ντε Κεμπραντίλας,پیراتاس د کبرادیلاس
Vimpelin Veto,Βιμπέλιν Βέτο,ویمپلین وتو
ZKK Split,ΖΚΚ Σπλίτ,زی کی کی اسپلیت
FCC Baschet Arad,ΦΚΣ Μπασκέτ Άραντ,اف سی سی باسچت آراد
Fos Provence Basket,Φος Προβένση Μπασκέτ,فوس پروونس باسکت
Salem Tigers,Σάλεμ Τίγρης,سالم تایگرز
Dewa United Banten,Ντεγουά Γιουνάιτεντ Μπαντέν,دوا یونایتد بانتن
Southern New Hampshire Penmen,Νότια Νέα Χάμσαιρ Πένμεν,ساوترن نیوهمپشایر پنمن
Colorado Buffaloes,Κολοράντο Μπάφολους,کلورادو بافالوز
Apollon Patras,Απόλλων Πάτρας,آپولون پاتراس
New Mexico State Aggies,Νέα Μέξικο Στέιτ Άγκις,نیو مکزیکو استیٹ اجیز
Fairmont State Fighting Falcons,Φέιρμοντ Στέιτ Φάιτινγ Φάλκονς,فیرمونت استیٹ فایتینگ فالکنز
UMF Grindavik,ΥΜΦ Γκρίνταβικ,او ام اف گرینداویک
Metros de Santiago,Μέτρος ντε Σάντιαγκο,متروز د سانتیاگو
Niagara Purple Eagles,Νιάγκαρα Πούρπλ Ειγλς,نیاگرا پرپل ایگلز
Indiana State Sycamores,Ίντιανα Στέιτ Σάικαμορς,اینڈیانا استیٹ سایکامورز
Toledo Rockets,Τολέντο Ροκετς,تولیدو راکٹس
BK Levicki Patrioti,ΜπΚ Λεβίτσκι Πατριώτι,بی کے لویکی پتریوٹی
Himeji Egrets,Χιμέτζι Έγκρετς,ہیمجی ایگریٹس
Syracuse Stallions,Σιράκισε Στάλιονς,سیراکوز اسٹالینز
Winston Salem State Rams,Γουίνστον Σέιλον Στέιτ Ραμς,ونسٹن سیلم سیٹ ڑمز
Santa Tecla BC,Σάντα Τέκλα Μπι Σι,سانتا تکلا بی سی
Halle Lions,Χάλε Λιονς,هاله لیونز
Koshigaya Alphas,Κοσιγκάγια Άλφας,کوشیگایا الفاس
Southern Nazarene Crimson Storm,Νότια Ναζαρέν Κρύμον Στόρμ,جنوبی نازارین کریمون استورم
Santa Cruz Warriors,Σάντα Κρουζ Γουόριορς,سانتا کروز واریورز
Germany,Γερμανία,آلمان
Virtus Pallacanestro Bologna,Βιρτούς Παλακανέστρο Μπολόνια,ویرتوس پالاکانسترو بولونیا
Antwerp Giants B,Αντβέρπ Γιάντς Μπι,آنتورپ جینتس بی
Basket Landes,Μπασκέτ Λαντές,باسکت لاندس
Kortrijk Spurs ,Κορτρίκ Σπέρς,کورتریک اسپورز
Brujos Izalco,Μπρουχος Ιζαλκο,بروجوس ایزالکو
Korihait Uusikaupunki,Κοριχαιτ Ουσικαουπκι,کوریهایت اووسیکاوپونکی
Stade Nabeulien,Σταντε Ναμπευλιεν,استاد نابلین
Tarbes Gespe Bigorre,Ταρμπες Γεσπε Μπιγκορ,تارب جسپه بیگوره
Lucentum Alicante,Λουσεντουμ Αλικαντε,لوسنتوم آلیکانته
Hapoel Petah Tikva,Χαποελ Πετα Τικβα,هاپوئل پتا تیکوا
Team Olivinha,Τιαμ Ολιβινα,تیم اولیوینه
u0160entjur,Σεντιουρ,شنتجور
Anorthosis Famagusta,Ανορθωσις Φαμαγκουστα,انورتوسیس فاماگوستا
Kk Tamis,Κκ Ταμις,کارتون  تامیس
Basket Zaragoza 2002,Μπάσκετ Ζαραγόζα 2002,بسکت زاراگوزا ۲۰۰۲
OGM Ormanspor,ΟΓΜ Ορμάνσπορ,اوگم اورمانسپور
LSU Tigers,ΛΣΥ Τίγρης,الاسیو تایگرز
Levanga Hokkaido,Λεβάνγκα Χοκκάιντο,لوانگا هوکایدو
Albany Great Danes,Άλμπανϊ Γκρέιτ Δέινς,البانی گریت دانز
Hume City Broncos,Χουμ Σίτι Μπρόνσονς,هوم کیتی برونکوز
San Martin Corrientes,Σαν Μαρτίν Κοριέντες,سن مارتین کورینتس
ACS Kse Targu Secuiesc,ΑΚΣ Κσε Ταργκού Σεκουέσκ,ایسیاس کسه تارگو سکویسک
Basket Torino,Μπάσκετ Τορίνο,بسکت تورینو
Uppsala Basket,Ούπσαλα Μπάσκετ,اپسالا بسکت
New York Knicks,Νιου Γιορκ Νικς,نیویورک کنیکس
Belarus,Μπελαρουσ,بلاروس
Kumamoto Volters,Κουμαμοτο Βολτερς,کوماموتو وولترز
Kazakhstan,Καζακσταν,قزاقستان
Future Team Steiermark,Φιουτυρε Τιμ Στειρμαρκ,فیوچر تیم اشتایرمارک
Csm Targu Mures,Σιμ Ταργκου Μουρες,سی اس ام تارگو مورس
Gernika Kesb,Γερνικα Κεσμπ,گرنیکا کسب
Hungary U19,Ουγγαρια U19,مجارستان U19
Motor City Cruise,Μοτορ Σιτι Κρουζ,موتور سیتی کروز
Seton Hall Pirates,Σετον Χαλ Πιρατς,ستون هال پایریتس
ZKK Brod Na Savi,ΖΚΚ Μπροντ Να Σάβι,زی کی کی برود نا ساوی
Xinjiang Magic Deer,Ξιντζιάνγκ Μάγικ Διαρ,شینجیانگ ماجیک دیر
Okapi Aalst,Όκαπι Άαλστ,اوکاپی آلست
Uruguay,Ουρουγουάη,اوروگوئه
KKK Mosir Krosno,ΚΚΚ Μοσιρ Κροσνό,کی کی کی موسیر کروسنو
Kobrat Lapua,Κομπράτ Λάπουα,کوبرات لاپوآ
BC Vienna,Μπι Βιέννα,بی سی وینا
Basket Brno U23,Μπάσκετ Μπρνό Υ23,باسکت برنو یو۲۳
VfL Astrostars Bochum,ΒφΕλ Άστροσταρς Μπόχουμ,وی اف ال استروستارز بوخوم
Kk Promo Donji Vakuf,Κκ Πρόμο Ντόνι Βάκουφ,کی کی پرومو دونجی واکوف
Slavoj BK Litomerice,Σλάβοϊ ΜπΚ Λιτομεριτσέ,سلاووج بیکی لیتومریچه
Indiana Crimson Hawk,Ίντιανα Κρίμσον Χόουκ,ایندیانا کریمسون هاک
Santo Andre/Apaba,Σάντο Άντρε/Άπαμπα,سانتو آندره/آپابا
Camberwell Dragons,Κάμπεργουελ Ντράγκονς,کمبرول ول درگونز
Argentina,Αργεντινή,آرژانتین
Elitzur Holon,Ελιτζούρ Χόλον,الیتزور هولون
Dynamo Kursk,Δυνάμω Κούρσκ,دینامو کورسک
Decka Pelplin,Ντέκα Πελπλίν,دکا پلپلین
Arizona Wildcats,Αριζόνα Γουάλδφατς,آریزونا ولکاتز
PAOK BC,ΠΑΟΚ ΜπΚ,پاوک بیسی
Real Betis,Ρεαλ Μπετις,ریال بتیس
Bbc Croonen Lommel,Μπι Σι Κροονεν Λομελ,بیبیسی کرونن لومل
Basket Lattes Montpellier,Μπασκετ Λατες Μοντπελιερ,بسکت لاتس مونپلیه
Mark Basket,Μαρκ Μπασκετ,مارک بسکت
Helios Domzale,Χελιος Ντομζαλε,هلیوس دومزاله
Chanson V-Magic,Χανσον Βι-Μαγικ,چنسون وی-مجیک
Nunawading Spectres,Νουναγουαντινγκ Σπεκτρες,نوناوادینگ سپکترز
Diablos de Miranda,Ντιαμπλος Ντε Μιραντα,دیابلوز د میراندا
Club Malvin,Κλουμ Μαλβιν,کلوب مالوین
Nigeria,Νιγηρια,نیجریه
Northern Kentucky Norse,Νόρθ Νιορθ Νόρσε,نورثن کنتاکی نورس
Penrith Panthers,Πενριθ Πάνθερς,پنریت پنترز
Goyang Carrot Jumpers,Γκόγκανγκ Καρότ Τζάμπερς,گوینگ کاروت جمپرز
Hatay BSB,Χατάι Μπι Σι Μπι,هاتای بیاسبی
Aquila Basket Trento,Ακούιλα Μπάσκετ Τρέντο,آکویلا بسکت ترنتو
Talos Ruvo Di Puglia,Τάλος Ρούβο Ντι Πούλια,تالوس رووو دی پولیا
Cozum Ankara Koleji,Κοζούμ Ανκάρα Κολέτζι,کوزوم آنکارا کولجی
Northern State Wolves,Νόρθ Στέιτ Γουολς,نورثن استیت وولوز
KCC Egis,ΚΚΣ Έγκις,کیسیسی اگیس
AP Monopoli,ΑΠ Μονόπολη,ایپی مونوپولی
Metropolitans 92,Μετροπολιτάνς 92,متروپولیتان ٩۲
Basket Zaragoza 2002,Μπάσκετ Ζαράγκοζα 2002,بسکت زاراگوزا ۲۰۰۲
Bristol Flyers,Μπρίστολ Φλάιερς,بریستول فلایرز
New Mexico Lobos,Νιου Μεξικό Λόμπος,نیو مکزیکو لوبوس
Omnia Basket Pavia,Ομνία Μπάσκετ Πάβια,اومنیا بسکت پاویا
Ringwood Hawks,Ρίνγκγουντ Χόκς,رینگوود هاکس
Missouri Tigers,Μισούρι Τίγερς,میزوری تایگرز
Red City Roar,Ρεδ Κίτι Ροαρ,رد کیتی روار
SCP Ruzomberok,ΣΚΠ Ροζομπερόκ,اس سی پی روزومبروک
CBK Mersin Yenisehir Bld,ΚΒΚ Μερσίν Γιενισέχιρ Μπλντ,سی بی کی مرسین ینیشه بلد
Marinos de Anzoategui,Μαρίνος ντε Ανζοατέγκουι,مارینوس د انزواتگوی
Dandenong Rangers,Νταννενόνγ Ράντζερς,داندنونگ رنجرز
KK Kolubara LA 2003,ΚΚ Κολουμπάρα ΛΑ 2003,کی کی کولوبارا لا 2003
KK Siroki,ΚΚ Σίροκι,کی کی سیروکی
Eastern Suns,Αιστερν Σανς,آسترن سانز
CSM Alexandria,ΚΣΜ Αλεξάνδρεια,سی اس ام الأساندرا
Catz Lappeenranta,Κατς Λαππεενράντα,کاتز لاپینرانتا
Gold Coast Rollers,Γολντ Κουαστ Ρόλερς,گولد کوست رولرز
Central Coast Crusaders,Κεντράλ Κοαστ Κρουσάντερς,سنترال کوست کروسادرز
Canberra Nationals,Κανμπερα Νατιόναλς,کانبرا نشنالز
Caprabo Lleida,Καπράμπο Λειντά,کاپرابو لیدا
Great Britain,Μεγάλη Βρετανία,بریتانیا
Oklahoma City Thunder,Οκλαχόμα Σίτι Θάντερ,اوکلاهوما سیتی تاندر
Angels Nordlingen,Άγγελοι Νόρντλινγκεν,آنگلز نوردلینگن
Brisbane Bullets,Μπρίσμπαουλ Μπάλετς,بریزبن بالتس
Auburn Tigers,Αϊμπουρν Τίγρης,اوبورن تایگرز
Fyllingen BK,Φίλινγκεν ΜπΚ,فیلینگن بیکی
Fulgor Omegna Basket,Φουλγκορ Ομέγκνα Μπάσκετ,فولگور اومگنا باسکت
Panteras De Miranda,Πάντερας Ντε Μίραντα,پانتراس ده میراندا
Hills Hornets,Χιλς Χόρνετς,هیلز هورنتس
